sl_no,gender,comSkill,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,No_certi,Internship,etest_p,placetest_p,sports,status
1,M,Good,67,Others,91,Others,Commerce,58,Compsci,8,completed,55,58.8,Yes,Placed
2,M,Good,79.33,Central,78.33,Others,Science,77.48,Compsci,6,none,86.5,66.28,No,Placed
3,M,Bad,65,Central,68,Central,Arts,64,b.Tech it,4,completed,75,57.8,No,Placed
4,M,Bad,56,Central,52,Central,Science,52,Compsci,9,completed,66,59.43,No,Not Placed
5,M,Bad,85.8,Central,73.6,Central,Commerce,73.3,Electronics,2,completed,96.8,55.5,No,Placed
6,M,Bad,55,Others,49.8,Others,Science,67.25,Compsci,16,none,55,51.58,No,Not Placed
7,F,Bad,46,Others,49.2,Others,Commerce,79,Electronics,7,completed,74.28,53.29,No,Not Placed
8,M,Good,82,Central,64,Central,Science,66,Compsci,6,none,67,62.14,No,Placed
9,M,Good,73,Central,79,Central,Commerce,72,b.Tech itgmt,1,completed,91.34,61.29,Yes,Placed
10,M,Good,58,Central,70,Central,Commerce,61,b.Tech itgmt,3,completed,54,52.21,No,Not Placed
11,M,Good,58,Central,61,Central,Commerce,60,b.Tech itgmt,5,none,62,60.85,No,Placed
12,M,Good,69.6,Central,68.4,Central,Commerce,78.3,b.Tech itgmt,3,none,60,63.7,Yes,Placed
13,F,Bad,47,Central,55,Others,Science,65,b.Tech itgmt,3,completed,62,65.04,No,Not Placed
14,F,Bad,77,Central,87,Central,Commerce,59,Electronics,2,completed,68,68.63,No,Placed
15,M,Bad,62,Central,47,Central,Commerce,50,b.Tech itgmt,1,completed,76,54.96,No,Not Placed
16,F,Good,65,Central,75,Central,Commerce,69,b.Tech itgmt,4,none,72,64.66,No,Placed
17,M,Bad,63,Central,66.2,Central,Commerce,65.6,Electronics,2,none,60,62.54,No,Placed
18,F,Bad,55,Central,67,Central,Commerce,64,b.Tech itgmt,3,completed,60,67.28,No,Not Placed
19,F,Good,63,Central,66,Central,Commerce,64,b.Tech itgmt,3,completed,68,64.08,No,Not Placed
20,M,Good,60,Others,67,Others,Arts,70,b.Tech itgmt,5,none,50.48,77.89,No,Placed
21,M,Bad,62,Others,65,Others,Commerce,66,Electronics,4,completed,50,56.7,No,Placed
22,F,Bad,79,Others,76,Others,Commerce,85,b.Tech itgmt,2,completed,95,69.06,No,Placed
23,F,Bad,69.8,Others,60.8,Others,Science,72.23,Compsci,8,completed,55.53,68.81,Yes,Placed
24,F,Bad,77.4,Others,60,Others,Science,64.74,Compsci,9,none,92,63.62,Yes,Placed
25,M,Good,76.5,Others,97.7,Others,Science,78.86,Compsci,13,completed,97.4,74.01,No,Placed
26,F,Good,52.58,Others,54.6,Central,Commerce,50.2,b.Tech itgmt,3,none,76,65.33,No,Not Placed
27,M,Bad,71,Others,79,Others,Commerce,66,Electronics,2,none,94,57.55,No,Placed
28,M,Bad,63,Others,67,Others,Commerce,66,b.Tech itgmt,1,completed,68,57.69,No,Placed
29,M,Good,76.76,Others,76.5,Others,Commerce,67.5,b.Tech itgmt,2,none,73.35,64.15,Yes,Placed
30,M,Good,62,Central,67,Central,Commerce,58,b.Tech itgmt,0,completed,77,51.29,No,Not Placed
31,F,Good,64,Central,73.5,Central,Commerce,73,Electronics,2,completed,52,56.7,No,Placed
32,F,Bad,67,Central,53,Central,Science,65,b.Tech itgmt,3,completed,64,58.32,No,Not Placed
33,F,Bad,61,Central,81,Central,Commerce,66.4,Compsci,8,completed,50.89,62.21,No,Placed
34,F,Bad,87,Others,65,Others,Science,81,b.Tech itgmt,5,none,88,72.78,No,Placed
35,M,Good,62,Others,51,Others,Science,52,Electronics,4,completed,68.44,62.77,No,Not Placed
36,F,Bad,69,Central,78,Central,Commerce,72,Others,36,completed,71,62.74,No,Placed
37,M,Bad,51,Central,44,Central,Commerce,57,b.Tech itgmt,4,completed,64,51.45,No,Not Placed
38,F,Good,79,Central,76,Central,Science,65.6,b.Tech itgmt,7,completed,58,55.47,No,Placed
39,F,Good,73,Others,58,Others,Science,66,Compsci,8,completed,53.7,56.86,No,Placed
40,M,Good,81,Others,68,Others,Science,64,b.Tech itgmt,1,completed,93,62.56,Yes,Placed
41,F,Bad,78,Central,77,Others,Commerce,80,Compsci,2,completed,60,66.72,Yes,Placed
42,F,Bad,74,Others,63.16,Others,Commerce,65,Electronics,0,none,65,69.76,No,Not Placed
43,M,Good,49,Others,39,Central,Science,65,b.Tech itgmt,3,completed,63,51.21,No,Not Placed
44,M,Good,87,Others,87,Others,Commerce,68,Others,0,completed,95,62.9,No,Placed
45,F,Bad,77,Others,73,Others,Commerce,81,b.Tech itgmt,2,none,89,69.7,No,Placed
46,F,Bad,76,Central,64,Central,Science,72,b.Tech itgmt,3,completed,58,66.53,Yes,Not Placed
47,F,Bad,70.89,Others,71.98,Others,Science,65.6,Compsci,4,completed,68,71.63,Yes,Not Placed
48,M,Bad,63,Central,60,Central,Commerce,57,Electronics,5,none,78,54.55,No,Placed
49,M,Bad,63,Others,62,Others,Commerce,68,b.Tech itgmt,0,completed,64,62.46,No,Placed
50,F,Bad,50,Others,37,Others,Arts,52,Electronics,2,completed,65,56.11,No,Not Placed
51,F,Bad,75.2,Central,73.2,Central,Science,68.4,Others,0,completed,65,62.98,No,Placed
52,M,Bad,54.4,Central,61.12,Central,Commerce,56.2,b.Tech itgmt,1,completed,67,62.65,Yes,Not Placed
53,F,Good,40.89,Others,45.83,Others,Commerce,53,b.Tech itgmt,4,completed,71.2,65.49,No,Not Placed
54,M,Bad,80,Others,70,Others,Science,72,Compsci,9,completed,87,71.04,No,Placed
55,F,Bad,74,Central,60,Others,Science,69,b.Tech itgmt,2,completed,78,65.56,No,Placed
56,M,Good,60.4,Central,66.6,Others,Science,65,Electronics,3,completed,71,52.71,No,Placed
57,M,Good,63,Others,71.4,Others,Commerce,61.4,b.Tech itgmt,1,completed,68,66.88,No,Placed
58,M,Bad,68,Central,76,Central,Commerce,74,b.Tech itgmt,2,completed,80,63.59,No,Placed
59,M,Bad,74,Central,62,Others,Science,68,b.Tech itgmt,0,completed,74,57.99,No,Placed
60,M,Bad,52.6,Central,65.58,Others,Science,72.11,Compsci,8,completed,57.6,56.66,No,Placed
61,M,Bad,74,Central,70,Central,Science,72,b.Tech itgmt,1,none,60,57.24,No,Placed
62,M,Good,84.2,Central,73.4,Central,Commerce,66.89,b.Tech itgmt,0,completed,61.6,62.48,No,Placed
63,F,Good,86.5,Others,64.2,Others,Science,67.4,Compsci,7,completed,59,59.69,No,Placed
64,M,Bad,61,Others,70,Others,Commerce,64,b.Tech itgmt,0,completed,68.5,59.5,No,Not Placed
65,M,Bad,80,Others,73,Others,Commerce,75,b.Tech itgmt,3,completed,61,58.78,No,Placed
66,M,Good,54,Others,47,Others,Science,57,Electronics,1,completed,89.69,57.1,No,Not Placed
67,M,Bad,83,Others,74,Others,Science,66,b.Tech itgmt,2,completed,68.92,58.46,No,Placed
68,M,Good,80.92,Others,78.5,Others,Commerce,67,b.Tech itgmt,5,completed,68.71,60.99,No,Placed
69,F,Good,69.7,Central,47,Central,Commerce,72.7,Compsci,8,completed,79,59.24,No,Not Placed
70,M,Bad,73,Central,73,Central,Science,66,Compsci,7,none,70,68.07,No,Placed
71,M,Bad,82,Others,61,Others,Science,62,Compsci,9,completed,89,65.45,Yes,Placed
72,M,Bad,75,Others,70.29,Others,Commerce,71,b.Tech itgmt,0,completed,95,66.94,Yes,Placed
73,M,Good,84.86,Others,67,Others,Science,78,b.Tech itgmt,2,completed,95.5,68.53,No,Placed
74,M,Good,64.6,Central,83.83,Others,Commerce,71.72,b.Tech itgmt,3,completed,86,59.75,No,Placed
75,M,Bad,56.6,Central,64.8,Central,Commerce,70.2,Electronics,1,completed,84.27,67.2,No,Placed
76,F,Bad,59,Central,62,Others,Commerce,77.5,b.Tech itgmt,2,completed,74,67,No,Not Placed
77,F,Good,66.5,Others,70.4,Central,Arts,71.93,b.Tech itgmt,0,completed,61,64.27,Yes,Placed
78,M,Bad,64,Others,80,Others,Science,65,Compsci,12,none,69,57.65,No,Placed
79,M,Bad,84,Others,90.9,Others,Science,64.5,Compsci,9,completed,86.04,59.42,Yes,Placed
80,F,Good,69,Central,62,Central,Science,66,Compsci,4,completed,75,67.99,No,Not Placed
81,F,Bad,69,Others,62,Others,Commerce,69,b.Tech itgmt,2,none,67,62.35,No,Placed
82,M,Good,81.7,Others,63,Others,Science,67,b.Tech itgmt,0,none,86,70.2,No,Placed
83,M,Good,63,Central,67,Central,Commerce,74,Electronics,3,completed,82,60.44,No,Not Placed
84,M,Bad,84,Others,79,Others,Science,68,Compsci,8,none,84,66.69,Yes,Placed
85,M,Bad,70,Central,63,Others,Science,70,Compsci,9,none,55,62,Yes,Placed
86,F,Bad,83.84,Others,89.83,Others,Commerce,77.2,b.Tech itgmt,1,none,78.74,76.18,No,Placed
87,M,Good,62,Others,63,Others,Commerce,64,b.Tech itgmt,2,completed,67,57.03,No,Placed
88,M,Bad,59.6,Central,51,Central,Science,60,Others,0,completed,75,59.08,No,Not Placed
89,F,Bad,66,Central,62,Central,Commerce,73,b.Tech itgmt,0,completed,58,64.36,No,Placed
90,F,Bad,84,Others,75,Others,Science,69,Compsci,6,none,62,62.36,Yes,Placed
91,F,Bad,85,Others,90,Others,Commerce,82,b.Tech itgmt,3,completed,92,68.03,No,Placed
92,M,Bad,52,Central,57,Central,Commerce,50.8,Electronics,1,completed,67,62.79,No,Not Placed
93,F,Bad,60.23,Central,69,Central,Science,66,b.Tech itgmt,2,completed,72,59.47,No,Placed
94,M,Bad,52,Central,62,Central,Commerce,54,b.Tech itgmt,0,completed,72,55.41,No,Not Placed
95,M,Bad,58,Central,62,Central,Commerce,64,Electronics,3,completed,53.88,54.97,Yes,Placed
96,M,Bad,73,Central,78,Others,Commerce,65,b.Tech itgmt,0,none,95.46,62.16,No,Placed
97,F,Good,76,Central,70,Central,Science,76,b.Tech itgmt,4,none,66,64.44,No,Placed
98,F,Bad,70.5,Central,62.5,Others,Commerce,61,b.Tech itgmt,5,completed,93.91,69.03,No,Not Placed
99,F,Good,69,Central,73,Central,Commerce,65,Compsci,9,completed,70,57.31,Yes,Placed
100,M,Bad,54,Central,82,Others,Commerce,63,b.Tech itgmt,5,completed,50,59.47,No,Not Placed
101,F,Bad,45,Others,57,Others,Commerce,58,Compsci,2,none,56.39,64.95,Yes,Not Placed
102,M,Good,63,Central,72,Central,Commerce,68,b.Tech itgmt,4,completed,78,60.44,No,Placed
103,F,Bad,77,Others,61,Others,Commerce,68,Electronics,9,none,57.5,61.31,Yes,Placed
104,M,Good,73,Central,78,Central,Science,73,b.Tech itgmt,6,none,85,65.83,Yes,Placed
105,M,Bad,69,Central,63,Others,Science,65,Compsci,15,none,55,58.23,Yes,Placed
106,M,Bad,59,Central,64,Others,Science,58,b.Tech itgmt,8,completed,85,55.3,No,Not Placed
107,M,Good,61.08,Others,50,Others,Science,54,b.Tech itgmt,3,completed,71,65.69,Yes,Not Placed
108,M,Bad,82,Others,90,Others,Commerce,83,Electronics,1,completed,80,73.52,No,Placed
109,M,Good,61,Central,82,Central,Commerce,69,b.Tech itgmt,7,completed,84,58.31,Yes,Placed
110,M,Good,52,Central,63,Others,Science,65,b.Tech itgmt,8,none,86,56.09,Yes,Not Placed
111,F,Bad,69.5,Central,70,Central,Science,72,Compsci,4,completed,57.2,54.8,Yes,Placed
112,M,Good,51,Others,54,Others,Science,61,Compsci,11,completed,60,60.64,No,Not Placed
113,M,Bad,58,Others,61,Others,Commerce,61,Electronics,1,completed,58,53.94,Yes,Placed
114,F,Bad,73.96,Others,79,Others,Commerce,67,Compsci,6,completed,72.15,63.08,Yes,Placed
115,M,Bad,65,Central,68,Others,Science,69,b.Tech itgmt,4,completed,53.7,55.01,Yes,Placed
116,F,Good,73,Others,63,Others,Science,66,Compsci,1,completed,89,60.5,No,Placed
